Name,Kilometers Driven,Year of Manufacture,Fuel Type,Transmission Type,Price,Location,Owners
2012 Maruti Ritz,55.48k km,2012,Petrol,Manual,â‚¹2.04 lakh,"Kandivali, Mumbai",1st owner
2018 Maruti Ciaz,62.83k km,2018,Petrol,Manual,â‚¹5.81 lakh,"Mulund West, Mumbai",1st owner
2016 Maruti Wagon R 1.0,17.64k km,2016,Petrol,Manual,â‚¹3.41 lakh,"Mulund West, Mumbai",1st owner
2013 Maruti Swift Dzire,1.0L km,2013,Petrol,Manual,â‚¹3.36 lakh,"Mulund West, Mumbai",1st owner
2015 Maruti Ertiga,55.49k km,2015,Petrol,Manual,â‚¹5.98 lakh,"Kandivali, Mumbai",1st owner
2018 Maruti Baleno,53.51k km,2018,Petrol,Auto,â‚¹5.77 lakh,"Regency Anantam, Dombivli East",1st owner
2018 Maruti Wagon R 1.0,32.29k km,2018,Petrol,Manual,â‚¹3.45 lakh,"Regency Anantam, Dombivli East",2nd owner
2019 Maruti Dzire,15.95k km,2019,Petrol,Manual,â‚¹5.60 lakh,Seawood,1st owner
2019 Maruti New Wagon-R,5.67k km,2019,Petrol,Manual,â‚¹3.90 lakh,"Goregaon, Mumbai",1st owner
2017 Maruti IGNIS,1.0L km,2017,Petrol,Manual,â‚¹2.88 lakh,"Mulund West, Mumbai",2nd owner
2022 Maruti Swift,52.97k km,2022,Petrol,Auto,â‚¹7.18 lakh,"Mulund West, Mumbai",1st owner
2015 Maruti Alto 800,8.74k km,2015,Petrol,Manual,â‚¹2.08 lakh,"Regency Anantam, Dombivli East",1st owner
2015 Maruti Alto K10,75.61k km,2015,Petrol,Auto,â‚¹2.21 lakh,"Kandivali, Mumbai",2nd owner
2018 Maruti Celerio,78.72k km,2018,CNG,Manual,â‚¹3.71 lakh,"Kandivali, Mumbai",1st owner
2017 Maruti Swift,19.38k km,2017,Petrol,Manual,â‚¹4.35 lakh,Seawood,1st owner
2014 Maruti Celerio,50.94k km,2014,Petrol,Manual,â‚¹2.68 lakh,"Korum Mall, Thane West",1st owner
2018 Maruti Wagon R 1.0,56.03k km,2018,Petrol,Manual,â‚¹3.31 lakh,"Kandivali, Mumbai",2nd owner
2017 Maruti Ertiga,40.71k km,2017,Petrol,Manual,â‚¹6.90 lakh,"Goregaon, Mumbai",1st owner
2014 Maruti Celerio,33.09k km,2014,Petrol,Auto,â‚¹2.82 lakh,"Goregaon, Mumbai",1st owner
2019 Maruti S PRESSO,50.82k km,2019,Petrol,Manual,â‚¹3.05 lakh,"Regency Anantam, Dombivli East",1st owner
2021 Maruti New Wagon-R,24.36k km,2021,Petrol,Manual,â‚¹4.85 lakh,"Korum Mall, Thane West",1st owner
2017 Maruti Alto K10,42.57k km,2017,Petrol,Manual,â‚¹2.35 lakh,"Kandivali, Mumbai",2nd owner
2020 Maruti Alto,48.64k km,2020,CNG,Manual,â‚¹3.25 lakh,"Goregaon, Mumbai",1st owner
2016 Maruti Alto 800,12.43k km,2016,Petrol,Manual,â‚¹2.23 lakh,"Regency Anantam, Dombivli East",1st owner
2018 Maruti Alto K10,66.86k km,2018,CNG,Manual,â‚¹3.08 lakh,"Mulund West, Mumbai",2nd owner
2021 Maruti Dzire,71.71k km,2021,Petrol,Manual,â‚¹5.65 lakh,"Mulund West, Mumbai",1st owner
2017 Maruti Dzire,34.72k km,2017,Diesel,Auto,â‚¹5.80 lakh,"Goregaon, Mumbai",1st owner
2015 Maruti Swift Dzire,77.59k km,2015,Petrol,Manual,â‚¹3.45 lakh,"Korum Mall, Thane West",2nd owner
2016 Maruti Vitara Brezza,67.57k km,2016,Diesel,Manual,â‚¹5.51 lakh,"Goregaon, Mumbai",1st owner
2019 Maruti Baleno,48.25k km,2019,Petrol,Manual,â‚¹4.80 lakh,"Goregaon, Mumbai",2nd owner
2020 Maruti Ciaz,55.26k km,2020,Petrol,Manual,â‚¹6.46 lakh,Seawood,2nd owner
2018 Maruti Alto K10,42.03k km,2018,Petrol,Manual,â‚¹2.97 lakh,"Mulund West, Mumbai",1st owner
2016 Maruti Swift Dzire,91.06k km,2016,CNG,Manual,â‚¹4.07 lakh,"Goregaon, Mumbai",2nd owner
2021 Maruti Baleno,20.71k km,2021,Petrol,Manual,â‚¹6.35 lakh,"Korum Mall, Thane West",1st owner
2015 Maruti Ertiga,24.34k km,2015,CNG,Manual,â‚¹6.21 lakh,"Mulund West, Mumbai",1st owner
2017 Maruti Dzire,58.07k km,2017,Diesel,Auto,â‚¹6.09 lakh,"Regency Anantam, Dombivli East",1st owner
2022 Maruti Swift,48.90k km,2022,Petrol,Manual,â‚¹7.05 lakh,"Goregaon, Mumbai",1st owner
2015 Maruti Wagon R 1.0,90.13k km,2015,Petrol,Manual,â‚¹2.69 lakh,Seawood,2nd owner
2016 Maruti Baleno,28.53k km,2016,Petrol,Manual,â‚¹4.30 lakh,"Mulund West, Mumbai",1st owner
2016 Maruti Swift Dzire,76.89k km,2016,Petrol,Manual,â‚¹3.97 lakh,"Goregaon, Mumbai",1st owner
2015 Maruti Alto 800,60.20k km,2015,Petrol,Manual,â‚¹2.17 lakh,"Mulund West, Mumbai",2nd owner
2018 Maruti Swift,62.14k km,2018,Petrol,Auto,â‚¹5.15 lakh,"Korum Mall, Thane West",1st owner
2021 Maruti Baleno,2.41k km,2021,Petrol,Auto,â‚¹6.70 lakh,"Mulund West, Mumbai",2nd owner
2016 Maruti Alto 800,31.75k km,2016,Petrol,Manual,â‚¹2.30 lakh,Seawood,2nd owner
2020 Maruti S PRESSO,27.29k km,2020,Petrol,Auto,â‚¹3.44 lakh,"Goregaon, Mumbai",2nd owner
2016 Maruti Ciaz,81.92k km,2016,Petrol,Auto,â‚¹4.80 lakh,"Kandivali, Mumbai",1st owner
2018 Maruti Baleno,60.54k km,2018,Petrol,Manual,â‚¹4.45 lakh,"Goregaon, Mumbai",1st owner
2020 Maruti S PRESSO,20.65k km,2020,Petrol,Auto,â‚¹3.78 lakh,"Regency Anantam, Dombivli East",1st owner
2016 Maruti Celerio,76.92k km,2016,Petrol,Manual,â‚¹3.10 lakh,"Mulund West, Mumbai",2nd owner
2019 Maruti S PRESSO,28.28k km,2019,Petrol,Auto,â‚¹3.50 lakh,"Kandivali, Mumbai",1st owner
2023 Maruti Celerio,31.83k km,2023,CNG,Auto,â‚¹6.30 lakh,"Mulund West, Mumbai",1st owner
2023 Maruti Grand Vitara,19.71k km,2023,Petrol,Manual,â‚¹12.48 lakh,"Goregaon, Mumbai",1st owner
2018 Maruti Baleno,33.53k km,2018,Petrol,Manual,â‚¹5.00 lakh,"Regency Anantam, Dombivli East",1st owner
2017 Maruti Wagon R 1.0,41.98k km,2017,Petrol,Manual,â‚¹3.51 lakh,"Regency Anantam, Dombivli East",1st owner
2015 Maruti Ciaz,69.00k km,2015,Petrol,Auto,â‚¹4.60 lakh,"Goregaon, Mumbai",1st owner
2023 Maruti FRONX,21.61k km,2023,Petrol,Auto,â‚¹10.65 lakh,"Regency Anantam, Dombivli East",1st owner
2020 Maruti S PRESSO,79.07k km,2020,Petrol,Manual,â‚¹3.03 lakh,"Mulund West, Mumbai",2nd owner
2022 Maruti S PRESSO,19.44k km,2022,Petrol,Manual,â‚¹3.94 lakh,"Korum Mall, Thane West",1st owner
2023 Maruti Grand Vitara,71.50k km,2023,CNG,Manual,â‚¹12.30 lakh,"Mulund West, Mumbai",1st owner
2020 Maruti Baleno,30.79k km,2020,Petrol,Auto,â‚¹6.75 lakh,Seawood,1st owner
2022 Maruti Ciaz,20.73k km,2022,Petrol,Auto,â‚¹8.85 lakh,Seawood,1st owner
2019 Maruti Ciaz,99.52k km,2019,Petrol,Auto,â‚¹6.75 lakh,"Mulund West, Mumbai",1st owner
2023 Maruti Ciaz,10.91k km,2023,Petrol,Manual,â‚¹9.00 lakh,"Goregaon, Mumbai",1st owner
2020 Maruti Ertiga,10.23k km,2020,Petrol,Manual,â‚¹8.90 lakh,"Korum Mall, Thane West",1st owner
2023 Maruti Baleno,5.68k km,2023,Petrol,Manual,â‚¹6.10 lakh,"Mulund West, Mumbai",1st owner
2022 Maruti New Wagon-R,76.54k km,2022,CNG,Manual,â‚¹4.61 lakh,"Korum Mall, Thane West",2nd owner
2020 Maruti Swift,32.04k km,2020,Petrol,Manual,â‚¹5.15 lakh,"Goregaon, Mumbai",1st owner
2018 Maruti IGNIS,66.65k km,2018,Petrol,Manual,â‚¹3.58 lakh,"Korum Mall, Thane West",1st owner
2017 Maruti Wagon R 1.0,21.21k km,2017,Petrol,Auto,â‚¹3.26 lakh,"Goregaon, Mumbai",1st owner
2018 Maruti Baleno,48.75k km,2018,Petrol,Auto,â‚¹5.02 lakh,"Kandivali, Mumbai",1st owner
2016 Maruti Ciaz,55.49k km,2016,Petrol,Auto,â‚¹5.12 lakh,"Regency Anantam, Dombivli East",1st owner
2021 Maruti Ciaz,26.49k km,2021,Petrol,Manual,â‚¹7.01 lakh,"Korum Mall, Thane West",1st owner
2016 Maruti Celerio,60.90k km,2016,CNG,Manual,â‚¹3.60 lakh,"Regency Anantam, Dombivli East",1st owner
2017 Maruti Ciaz,95.33k km,2017,Petrol,Manual,â‚¹4.58 lakh,"Regency Anantam, Dombivli East",2nd owner
2020 Maruti S PRESSO,27.71k km,2020,Petrol,Auto,â‚¹3.99 lakh,"Mulund West, Mumbai",1st owner
